From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Gene Ontology IDs	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (GO)
F2QVI4	F2QVI4	unreviewed	F2QVI4_KOMPC	mRNA cleavage and polyadenylation factor CLP1	CLP1 PP7435_Chr3-0450	GO:0005524; GO:0005849; GO:0031124; GO:0051731	mRNA cleavage factor complex [GO:0005849]	mRNA 3'-end processing [GO:0031124]	ATP binding [GO:0005524]; polynucleotide 5'-hydroxyl-kinase activity [GO:0051731]	mRNA cleavage factor complex [GO:0005849]; ATP binding [GO:0005524]; polynucleotide 5'-hydroxyl-kinase activity [GO:0051731]; mRNA 3'-end processing [GO:0031124]
F2QTJ8	F2QTJ8	unreviewed	F2QTJ8_KOMPC	Dolichyl-phosphate-mannose--protein mannosyltransferase, EC 2.4.1.109	PMT2 PP7435_Chr2-1049	GO:0004169; GO:0005789; GO:0016021	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]		dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]
Q0K1U3	Q0K1U3	unreviewed	Q0K1U3_CUPNH	Arylamine N-acetyltransferase, EC 2.3.1.5	nhoA H16_B1241	GO:0004060			arylamine N-acetyltransferase activity [GO:0004060]	arylamine N-acetyltransferase activity [GO:0004060]
Q0KEM5	Q0KEM5	unreviewed	Q0KEM5_CUPNH	Putative threonine efflux protein	H16_A0396	GO:0005886; GO:0006865; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	amino acid transport [GO:0006865]		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; amino acid transport [GO:0006865]
F2QPT0	F2QPT0	unreviewed	F2QPT0_KOMPC	Uncharacterized protein	PP7435_Chr1-1289	GO:0000104; GO:0006099; GO:0009055; GO:0016021; GO:0031966; GO:0045281; GO:0046872	integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; succinate dehydrogenase complex [GO:0045281]	tricarboxylic acid cycle [GO:0006099]	electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; succinate dehydrogenase activity [GO:0000104]	integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; succinate dehydrogenase complex [GO:0045281]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; succinate dehydrogenase activity [GO:0000104]; tricarboxylic acid cycle [GO:0006099]
Q0K1G9	Q0K1G9	unreviewed	Q0K1G9_CUPNH	Transcriptional regulator, AsnC-family	H16_B1366	GO:0006355; GO:0043565		regulation of transcription, DNA-templated [GO:0006355]	sequence-specific DNA binding [GO:0043565]	sequence-specific DNA binding [GO:0043565]; regulation of transcription, DNA-templated [GO:0006355]
Q0KF11	Q0KF11	unreviewed	Q0KF11_CUPNH	Short chain dehydrogenase, EC 1.-.-.-	H16_A0258	GO:0016491			oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]
Q0KEI0	Q0KEI0	unreviewed	Q0KEI0_CUPNH	Dehydrogenase (FAD/FMN-containing) and Fe-S oxidoreductase (Two domain protein)	glpCD H16_A0441	GO:0016491; GO:0046872; GO:0051536; GO:0071949			FAD binding [GO:0071949]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	FAD binding [GO:0071949]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]
Q0K3E8	Q0K3E8	unreviewed	Q0K3E8_CUPNH	MaoC_dehydrat_N domain-containing protein	H16_B0679					
F2QY72	F2QY72	unreviewed	F2QY72_KOMPC	Small nuclear ribonucleoprotein Sm D1 (snRNP core protein D1)	SMD1 PP7435_Chr4-0175	GO:0000387; GO:0005634; GO:0120114	nucleus [GO:0005634]; Sm-like protein family complex [GO:0120114]	spliceosomal snRNP assembly [GO:0000387]		nucleus [GO:0005634]; Sm-like protein family complex [GO:0120114]; spliceosomal snRNP assembly [GO:0000387]
A0A1G4KP82	A0A1G4KP82	unreviewed	A0A1G4KP82_KOMPC	Uncharacterized protein	PP7435_Chr1-2137	GO:0000079; GO:0000307; GO:0019901	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]	regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]	protein kinase binding [GO:0019901]	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; protein kinase binding [GO:0019901]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]
Q0KEP2	Q0KEP2	unreviewed	Q0KEP2_CUPNH	Adenine DNA glycosylase, EC 3.2.2.31	mutY H16_A0379	GO:0000701; GO:0006284; GO:0046872; GO:0051539		base-excision repair [GO:0006284]	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; purine-specific mismatch base pair DNA N-glycosylase activity [GO:0000701]	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; purine-specific mismatch base pair DNA N-glycosylase activity [GO:0000701]; base-excision repair [GO:0006284]
F2QM70	F2QM70	unreviewed	F2QM70_KOMPC	Transcription initiation factor IIB	SUA7 PP7435_Chr1-0358	GO:0003743; GO:0006355; GO:0017025; GO:0043565; GO:0070897		regulation of transcription, DNA-templated [GO:0006355]; transcription preinitiation complex assembly [GO:0070897]	sequence-specific DNA binding [GO:0043565]; TBP-class protein binding [GO:0017025]; translation initiation factor activity [GO:0003743]	sequence-specific DNA binding [GO:0043565]; TBP-class protein binding [GO:0017025]; translation initiation factor activity [GO:0003743]; regulation of transcription, DNA-templated [GO:0006355]; transcription preinitiation complex assembly [GO:0070897]
